;DATA;DIA;LOCAL
1;15/08;Chegada;Roma (Aeroporto, Transfer para Hostel)
2;16/08;1;Roma: Coliseu, Fórum Romano, Palatino
3;17/08;2;Roma: Vaticano (Basílica de São Pedro, Museu do Vaticano), Praça de São Pedro
4;18/08;3;Roma: Fontana di Trevi, Panteão, Piazza Navona, Trastevere (passeio noturno)
5;19/08;4;Roma:  Borghese Gallery and Gardens (reserva antecipada necessária), passeio pela cidade
6;20/08;5;Trem para Florença, Check-in no Hostel
7;21/08;6;Florença: Ponte Vecchio, Duomo (subida à cúpula - reserve com antecedência), Piazza della Signoria
8;22/08;7;Florença: Galeria Uffizi (reserve com antecedência), Galleria dell'Accademia (David de Michelangelo),  passeio pelo rio Arno
9;23/08;8;Florença: Mercado de San Lorenzo, Palazzo Pitti, Boboli Gardens (opcional, considerar tempo e orçamento)
10;24/08;9;Trem para La Spezia (Cinque Terre) Check-in
11;25/08;10;Cinque Terre: Monterosso, Vernazza (trekking entre as vilas - escolha as trilhas de acordo com sua capacidade física)
12;26/08;11;Cinque Terre: Corniglia, Manarola, Riomaggiore (trekking ou trem entre as vilas)
13;27/08;12;Cinque Terre:  Exploração adicional da vila favorita,  relaxamento na praia (opcional), compra de lembranças
14;28/08;13;Trem de volta para Roma ou Milão (dependendo do seu voo de volta)
15;29/08;14;Roma/Milão:  Compras de última hora,  passeio final
16;30/08;15;Partida (Aeroporto)
